,experimental_agent
0,-35941869.0
1,17673717.0
2,7886482.0
3,13960501.0
4,5650940.0
5,7198575.0
6,5382351.0
7,10679380.0
8,7230304.0
9,-8019297.0
10,13287725.0
11,10166549.0
12,15980011.0
13,-4193328.0
14,12697892.0
15,8275063.0
16,181420.0
17,12919612.0
18,11210921.0
19,-124477768.0
20,1408371.0
21,13540943.0
22,13268622.0
23,9947609.0
24,-28409842.0
25,-3544516.0
26,-26531040.0
27,-28903396.0
28,-53505117.0
29,-49213486.0
30,7130016.0
31,14356123.0
32,-4369177.0
33,-18773554.0
34,3450080.0
35,8601945.0
36,-9065580.0
37,14493764.0
38,8881062.0
39,-70068644.0
40,2541670.0
41,12487776.0
42,3739131.0
43,20480437.0
44,1716626.0
45,21038886.0
46,-9252328.0
47,-43746917.0
48,5016215.0
49,13651540.0
50,11909796.0
51,10452384.0
52,-42891573.0
53,12320708.0
54,8364385.0
55,10858697.0
56,-3199974.0
57,-9169340.0
58,-11306617.0
59,15467578.0
60,8471472.0
61,15760995.0
62,9098234.0
63,13657822.0
64,16774188.0
65,9490172.0
66,18692563.0
67,-14488676.0
68,-10640969.0
69,14336621.0
70,-237261.0
71,-22543740.0
72,4763757.0
73,-9508663.0
74,8490121.0
75,14206323.0
76,-5930929.0
77,-5539805.0
78,1784465.0
79,-11103726.0
80,-55825811.0
81,-3416747.0
82,10566273.0
83,17581944.0
84,10027829.0
85,14584100.0
86,17879493.0
87,8118497.0
88,14448814.0
89,5771556.0
90,13808224.0
91,7835971.0
92,8587265.0
93,20071883.0
94,-32285336.0
95,7418045.0
96,-5281781.0
97,24385313.0
98,11386979.0
99,-7050422.0
100,5327682.0
101,-25044132.0
102,-15632420.0
103,-2841700.0
104,5446988.0
105,-5957772.0
106,-26321712.0
107,14304292.0
108,-3958098.0
109,8229046.0
110,17105367.0
111,7532603.0
112,-63544008.0
113,10542490.0
114,4456790.0
115,7693816.0
116,-32576216.0
117,3836649.0
118,9077975.0
119,8682557.0
120,-52959291.0
121,15286635.0
122,-8496650.0
123,16895260.0
124,7048451.0
125,13156975.0
126,-49591592.0
127,18064543.0
128,3481548.0
129,12685306.0
130,-11161262.0
131,13390042.0
132,16617562.0
133,14191170.0
134,17265670.0
135,-42247013.0
136,2964805.0
137,14303250.0
138,-16250105.0
139,-30094167.0
140,-16592482.0
141,11297989.0
142,11531133.0
143,5959669.0
144,6871357.0
145,8676185.0
146,38994447.0
147,12001706.0
148,11945148.0
149,-72955.0
